"project","subproject","task","status","priority","comp date","comment"
"QLA","Functions","add support for QL Joint Calendar class.  inputs: 1) vector of strings (calendar names) 2) AND/OR value",,,,
"QLA","Functions","modify qlPiecewiseFlatForward() to call alternate QL ctor (calendar/# days) - Observer pattern",,,,
"QLA","Functions","qlGetFixLeg() to provide column headers in output",,"L",,
"QLA","Functions","latestDate() for RateHelpers","done","H","26/04/2006",
"QLA","Functions","YieldTermStructure iface - ZeroRate/Discount/ForwardRate/ParRate/MaxDate/MaxTime","done","H","27/04/2006",
"QLA","Functions","qlPiecewiseFlatForward() - don't reset eval date","done","M","26/04/2006",
"QLA","Functions","qlGetDf() to return vector","done","M","21/04/2006","renamed to qlDiscount()"
"QLA","Design","use ""instanceName"" instead of ""handle""","in progress","L",,
"QLA","Design","detect if calling range is row-wise / column-wise - format return vector accordingly",,"M",,
"QLA","Design","export IMM dates e.g. H7 -> date",,,,
"QLA","Design","FuturesRateHelper returns incorrect latestDate",,,,"bug in QL function nextIMMdate() ?"
"QLA","Design","transfer qla/typefactory.hpp, qla/typeregistry to ObjectHandler?",,,,
"QLA","Design","move all Create<>s from qla/*.?pp into autogenerated addin code?",,,,
"QLA","Design","discontinue support for VC6",,"L",,
"QLA","Design","in session.cpp replace bespoke parsing with boost::regex",,"L",,
"QLA","Design","use Excel SmartTags to allow interrogation of objects",,"L",,
"QLA","Design","improve formatting of log messages",,"L",,
"QLA","Design","#include fewer headers to speed compilation",,"L",,
"QLA","Design","move Procedure functions to QuantLibFunctions","done","H","30/04/2006",
"QLA","Design","if input vector contains mix of #VALUES and valid numbers - return vector should correspond","done","M","28/04/2006","also wraps QL function in try/catch"
"QLA","Design","Autogenerate source for funcs accepting vector input (qlForwardRate, qlDiscount, etc.)","done",,"28/04/2006",
"QLA","Design","srcgen flag ""ignoreError"" (default T) invoke function even if some inputs invalid e.g. qlMidEquivalent()","done","H","28/04/2006","always ignore errors (no flag)"
"QLA","Design","match QLA function names to underlying QL function names","done",,"27/04/2006",
"QLA","Design","check whether catch(...) catches unhandled exceptions from QL e.g. negative timesteps","cancelled",,01/05/2006,"it doesn't"
"QLA","VBA framework","create trade/market workbooks from templates",,"H",,
"QLA","VBA framework","load XLLs",,"H",,
"QLA","VBA framework","access logfile",,"M",,
"QLA","VBA framework","interrogate object repository",,"M",,"Plamen?"
"QLA","VBA framework","skeleton structure","done",,"18/04/2006",
"QLA","VBA framework","QuantLibAddin menu for Excel","done",,"18/04/2006",
"QLA","VBA framework","right click in cell to create enumeration drop down list","done",,"18/04/2006",
"QLA","QuantLibXL","separate SourceForge projects/websites for QLA, QLXL, srcgen","in progress","L",,
"QLA","ValueObjects","dynamic properties e.g. ohMember(""instanceName"", ""NPV"") replaces qlNPV(""instanceName"")",,"L",,
"QLA","Enumerations","if string name omitted from XML, use class name as default",,"L",,
"QLA","Enumerations","add support for description e.g. Nullcalendar, DayCounter::NoFrequency, DayCounter::Simple",,"M",,
"QLA","Enumerations","is Convention an enumeration?",,"M",,
"QLA","Enumerations","add support for abbreviations","cancelled","M","21/04/2006","not required because of right-click menu"
"QLA","Excel binding","srcgen function metadata ""noWizardRecalc"" to suppress recalc under Excel Function Wizard",,,,
"QLA","Excel binding","categorize function names in Excel Function Wizard","suspended",,"20/04/2006","conflict with Adfin addin"
"QLA","Excel binding","XLL description in Addin manager","cancelled",,"20/04/2006","not supported by Excel C API"
"QLA","Excel binding","automatically name calling cell","cancelled",,"20/04/2006","not supported by Excel C API"
"QLA","Docs","autogenerate documentation for datatype and default value",,"M",,
"QLA","Docs","provide more descriptive explanations of input/output parameters",,"M",,
"QLA","Docs","examples in Technical Documentation relate to Functional",,,,"?"
"QLA","Docs","installation - refer to Release build not Debug","done","L","21/04/2006",
"QLA","Docs","qlXibor() - description of 2nd parameter incorrect","done",,"21/04/2006",
"QLA","Xibor","automatically load EURIBOR etc. at startup from VOs (""singleton objects"")",,,,"see ObjectHandler"
"QLA","Xibor","get/set fixing for given date",,,,"?"
"QLA","General Support","Session functionality crashes QLA if active book named Book1.XLS",,"M",,
"QLA","General Support","EXPORT_QL_OBJECT macro not fully polymorphic",,"L",,
"QLA","General Support","C++ examples - add VOs, NPV calculations",,"L",,
"QLA","General Support","try removing redundant (?) FileConfiguration info from *.vcproj files","done",,03/05/2006,
"QLA","General Support","upgrade Calc addin to OOo 2 / VC 7","done","L","28/04/2006","thanks to Joe Byers"
"QLA","General Support","upgrade to latest CVS snapshot of QL","done",,"19/04/2006",
"QLA","General Support","sort out RandomSequenceGenerator","done",,"19/04/2006",
"QLA","srcgen","call OH_GET_REFERENCE from Addin code for functions with getObject='true' ?",,"L",,
"QLA","srcgen","extend rule.py to support conversion of Guile datatypes",,"L",,
"QLA","srcgen","allow for comments in XML (ignore '#comment' nodes)",,"L",,
"QLA","srcgen","Provide schema for XML",,"L",,
"QLA","srcgen","generate summary of files created/updated/changed per platform","done","L","30/04/2006",
"QLA","srcgen","autogenerate source for Members which loop on input param","done",,"28/04/2006",
"QLA","srcgen","add support for QuantLib::Date as datatype of return value","done",,"26/04/2006",
"QLA","srcgen","fix typo in Xibor - qlSobolRsg","done",,"26/04/2006",
"QLA","srcgen","remove redundant XML tag getObject='true' for Member functions","cancelled",,"26/04/2006","the tag is in use"
"QLA","Workstation Document","document build for Boost, QuantLibFunctions","done",,"28/04/2006",
"QLA","Workstation Document","document use of Addin Manager","done","M","28/04/2006",
"QLA","Workstation Document","incorporate other feedback from Nando and Katiuscia","done",,"28/04/2006",
"QLA","Workstation Document","explanation of VC workspace naming convention / _vc8.sln","done","M","21/04/2006",
"QLA","Workstation Document","explanation of runtime libraries","done","M","21/04/2006",
"OH","Functions","ohPack() - resolve flags and values",,"H",,
"OH","Functions","ohDependsOn() - fails if input range is nonexistent",,,,
"OH","Functions","ohDependsOn() - return counter (#/recalcs) - initially global, longer term per-instance",,,,
"OH","Functions","ohHandleList() to support regexes","done","M","26/04/2006","renamed to ohListInstanceNames()"
"OH","Functions","remove EO macro / function","done","L","21/04/2006",
"OH","Design","functions returning empty vector:  display #NUM, not 0, in calling cell – e.g. holidays.xls",,,,
"OH","Design","allow objects to be grouped",,"M",,
"OH","Design","""singleton"" object - static inputs & handle - load from VO? - lazy instantiation?",,"M",,"implement as extension of Enumeration Registry?"
"OH","Design","update design doc",,"L",,
"OH","Design","""reflection"" - support member functions dynamically",,"L",,
"OH","Design","if user supplies handle stub he must ensure it's unique / link handle stub to calling cell (?)",,,,"????"
"OH","Design","add support for “permanent” objects – objects which aren't deconstructed/reconstructed unless their inputs (VOs) change",,,,"????"
"OH","Design","include cell address in error message?","done","L",01/05/2006,
"OH","Design","class FunctionCall - streamline initialization - ""xltypeUninitialized""","done",,01/05/2006,
"OH","Design","support for retrieval of undecorated handles","done","H","30/04/2006","fix non-excel platforms"
"OH","Design","ohxll project mistakenly picking up autolink.hpp","done","L","27/04/2006",
"OH","Design","in objecthandlerxl.cpp replace bespoke parsing w/boost regexes","done","L","26/04/2006",
"OH","Design","std::exception -> ObjHandler::Exception","done","L","26/04/2006",
"OH","Design","class FunctionCall to encapsulate function state","done","M","26/04/2006",
